location,coordinates.latitude,coordinates.longitude
BELAL01,51.23619,4.38522
BELHB23,51.1703,4.341
BELLD01,51.10998,5.00486
BELLD02,51.12038,5.02155
BELR833,51.32766,4.36226
BELSA04,51.31393,4.40387
BELWZ02,51.1928,5.22153
BETM802,51.26099,4.4244
BETN016,51.23365,5.16398
BETR801,51.20966,4.43182
BETR802,51.20952,4.43179
BETR803,51.22863,4.42845
BETR805,51.20823,4.42156
BETR811,51.2521,4.49136
BETR815,51.2147,4.33221
BETR817,51.17713,4.41795
BETR820,51.32042,4.44481
BETR822,51.26429,4.34128
BETR831,51.3488,4.33971
BETR834,51.092,4.3801
BETR891,51.25581,4.38536
BETR893,51.28138,4.38577
BETR894,51.2835,4.3495
BETR897,51.25011,4.3421
FR04004,48.89167,2.34667
FR04012,48.82778,2.3275
FR04014,48.83724,2.3939
FR04014,48.83722,2.3939
FR04031,48.86887,2.31194
FR04031,48.86889,2.31194
FR04037,48.82861,2.36028
FR04060,48.8572,2.2933
FR04071,48.8564,2.33528
FR04071,48.85639,2.33528
FR04118,48.87027,2.3325
FR04118,48.87029,2.3325
FR04131,48.87333,2.33028
FR04135,48.83795,2.40806
FR04135,48.83796,2.40806
FR04141,48.85278,2.36056
FR04141,48.85279,2.36056
FR04143,48.859,2.351
FR04143,48.85944,2.35111
FR04179,48.83038,2.26989
FR04329,48.8386,2.41279
FR04329,48.83862,2.41278
Camden Kerbside,51.54421,-0.17527
Ealing Horn Lane,51.51895,-0.26562
Haringey Roadside,51.5993,-0.06822
London Bexley,51.46603,0.18481
London Bloomsbury,51.52229,-0.12589
London Eltham,51.45258,0.07077
London Haringey Priory Park South,51.58413,-0.12525
London Harlington,51.48879,-0.44161
London Harrow Stanmore,51.61733,-0.29878
London Hillingdon,51.49633,-0.46086
London Marylebone Road,51.52253,-0.15461
London N. Kensington,51.52105,-0.21349
London Teddington,51.42099,-0.33965
London Teddington Bushy Park,51.42529,-0.34561
London Westminster,51.49467,-0.13193
Southend-on-Sea,51.5442,0.67841
Southwark A2 Old Kent Road,51.4805,-0.05955
Thurrock,51.47707,0.31797
Tower Hamlets Roadside,51.52253,-0.04216
Groton Fort Griswold,41.3536,-72.0789
