obs,totbill,tip,sex,smoker,day,time,size
1,16.99, 1.01,F,No,Sun,Night,2
2,10.34, 1.66,M,No,Sun,Night,3
3,21.01, 3.50,M,No,Sun,Night,3
4,23.68, 3.31,M,No,Sun,Night,2
5,24.59, 3.61,F,No,Sun,Night,4
6,25.29, 4.71,M,No,Sun,Night,4
7, 8.77, 2.00,M,No,Sun,Night,2
8,26.88, 3.12,M,No,Sun,Night,4
9,15.04, 1.96,M,No,Sun,Night,2
10,14.78, 3.23,M,No,Sun,Night,2
11,10.27, 1.71,M,No,Sun,Night,2
12,35.26, 5.00,F,No,Sun,Night,4
13,15.42, 1.57,M,No,Sun,Night,2
14,18.43, 3.00,M,No,Sun,Night,4
15,14.83, 3.02,F,No,Sun,Night,2
16,21.58, 3.92,M,No,Sun,Night,2
17,10.33, 1.67,F,No,Sun,Night,3
18,16.29, 3.71,M,No,Sun,Night,3
19,16.97, 3.50,F,No,Sun,Night,3
20,20.65, 3.35,M,No,Sat,Night,3
21,17.92, 4.08,M,No,Sat,Night,2
22,20.29, 2.75,F,No,Sat,Night,2
23,15.77, 2.23,F,No,Sat,Night,2
24,39.42, 7.58,M,No,Sat,Night,4
25,19.82, 3.18,M,No,Sat,Night,2
26,17.81, 2.34,M,No,Sat,Night,4
27,13.37, 2.00,M,No,Sat,Night,2
28,12.69, 2.00,M,No,Sat,Night,2
29,21.70, 4.30,M,No,Sat,Night,2
30,19.65, 3.00,F,No,Sat,Night,2
31, 9.55, 1.45,M,No,Sat,Night,2
32,18.35, 2.50,M,No,Sat,Night,4
33,15.06, 3.00,F,No,Sat,Night,2
34,20.69, 2.45,F,No,Sat,Night,4
35,17.78, 3.27,M,No,Sat,Night,2
36,24.06, 3.60,M,No,Sat,Night,3
37,16.31, 2.00,M,No,Sat,Night,3
38,16.93, 3.07,F,No,Sat,Night,3
39,18.69, 2.31,M,No,Sat,Night,3
40,31.27, 5.00,M,No,Sat,Night,3
41,16.04, 2.24,M,No,Sat,Night,3
42,17.46, 2.54,M,No,Sun,Night,2
43,13.94, 3.06,M,No,Sun,Night,2
44, 9.68, 1.32,M,No,Sun,Night,2
45,30.40, 5.60,M,No,Sun,Night,4
46,18.29, 3.00,M,No,Sun,Night,2
47,22.23, 5.00,M,No,Sun,Night,2
48,32.40, 6.00,M,No,Sun,Night,4
49,28.55, 2.05,M,No,Sun,Night,3
50,18.04, 3.00,M,No,Sun,Night,2
51,12.54, 2.50,M,No,Sun,Night,2
52,10.29, 2.60,F,No,Sun,Night,2
53,34.81, 5.20,F,No,Sun,Night,4
54, 9.94, 1.56,M,No,Sun,Night,2
55,25.56, 4.34,M,No,Sun,Night,4
56,19.49, 3.51,M,No,Sun,Night,2
57,38.01, 3.00,M,Yes,Sat,Night,4
58,26.41, 1.50,F,No,Sat,Night,2
59,11.24, 1.76,M,Yes,Sat,Night,2
60,48.27, 6.73,M,No,Sat,Night,4
61,20.29, 3.21,M,Yes,Sat,Night,2
62,13.81, 2.00,M,Yes,Sat,Night,2
63,11.02, 1.98,M,Yes,Sat,Night,2
64,18.29, 3.76,M,Yes,Sat,Night,4
65,17.59, 2.64,M,No,Sat,Night,3
66,20.08, 3.15,M,No,Sat,Night,3
67,16.45, 2.47,F,No,Sat,Night,2
68, 3.07, 1.00,F,Yes,Sat,Night,1
69,20.23, 2.01,M,No,Sat,Night,2
70,15.01, 2.09,M,Yes,Sat,Night,2
71,12.02, 1.97,M,No,Sat,Night,2
72,17.07, 3.00,F,No,Sat,Night,3
73,26.86, 3.14,F,Yes,Sat,Night,2
74,25.28, 5.00,F,Yes,Sat,Night,2
75,14.73, 2.20,F,No,Sat,Night,2
76,10.51, 1.25,M,No,Sat,Night,2
77,17.92, 3.08,M,Yes,Sat,Night,2
78,27.20, 4.00,M,No,Thu,Day,4
79,22.76, 3.00,M,No,Thu,Day,2
80,17.29, 2.71,M,No,Thu,Day,2
81,19.44, 3.00,M,Yes,Thu,Day,2
82,16.66, 3.40,M,No,Thu,Day,2
83,10.07, 1.83,F,No,Thu,Day,1
84,32.68, 5.00,M,Yes,Thu,Day,2
85,15.98, 2.03,M,No,Thu,Day,2
86,34.83, 5.17,F,No,Thu,Day,4
87,13.03, 2.00,M,No,Thu,Day,2
88,18.28, 4.00,M,No,Thu,Day,2
89,24.71, 5.85,M,No,Thu,Day,2
90,21.16, 3.00,M,No,Thu,Day,2
91,28.97, 3.00,M,Yes,Fri,Night,2
92,22.49, 3.50,M,No,Fri,Night,2
93, 5.75, 1.00,F,Yes,Fri,Night,2
94,16.32, 4.30,F,Yes,Fri,Night,2
95,22.75, 3.25,F,No,Fri,Night,2
96,40.17, 4.73,M,Yes,Fri,Night,4
97,27.28, 4.00,M,Yes,Fri,Night,2
98,12.03, 1.50,M,Yes,Fri,Night,2
99,21.01, 3.00,M,Yes,Fri,Night,2
100,12.46, 1.50,M,No,Fri,Night,2
101,11.35, 2.50,F,Yes,Fri,Night,2
102,15.38, 3.00,F,Yes,Fri,Night,2
103,44.30, 2.50,F,Yes,Sat,Night,3
104,22.42, 3.48,F,Yes,Sat,Night,2
105,20.92, 4.08,F,No,Sat,Night,2
106,15.36, 1.64,M,Yes,Sat,Night,2
107,20.49, 4.06,M,Yes,Sat,Night,2
108,25.21, 4.29,M,Yes,Sat,Night,2
109,18.24, 3.76,M,No,Sat,Night,2
110,14.31, 4.00,F,Yes,Sat,Night,2
111,14.00, 3.00,M,No,Sat,Night,2
112, 7.25, 1.00,F,No,Sat,Night,1
113,38.07, 4.00,M,No,Sun,Night,3
114,23.95, 2.55,M,No,Sun,Night,2
115,25.71, 4.00,F,No,Sun,Night,3
116,17.31, 3.50,F,No,Sun,Night,2
117,29.93, 5.07,M,No,Sun,Night,4
118,10.65, 1.50,F,No,Thu,Day,2
119,12.43, 1.80,F,No,Thu,Day,2
