# This file should contain all the redirects in the documentation
# in the format `<old_path>,<new_path>`

# whatsnew
whatsnew,whatsnew/index
release,whatsnew/index

# getting started
install,getting_started/install
10min,getting_started/10min
basics,getting_started/basics
comparison_with_r,getting_started/comparison/comparison_with_r
comparison_with_sql,getting_started/comparison/comparison_with_sql
comparison_with_sas,getting_started/comparison/comparison_with_sas
comparison_with_stata,getting_started/comparison/comparison_with_stata
dsintro,getting_started/dsintro
overview,getting_started/overview
tutorials,getting_started/tutorials

# user guide
advanced,user_guide/advanced
categorical,user_guide/categorical
computation,user_guide/computation
cookbook,user_guide/cookbook
enhancingperf,user_guide/enhancingperf
gotchas,user_guide/gotchas
groupby,user_guide/groupby
indexing,user_guide/indexing
integer_na,user_guide/integer_na
io,user_guide/io
merging,user_guide/merging
missing_data,user_guide/missing_data
options,user_guide/options
reshaping,user_guide/reshaping
sparse,user_guide/sparse
style,user_guide/style
text,user_guide/text
timedeltas,user_guide/timedeltas
timeseries,user_guide/timeseries
visualization,user_guide/visualization

# development
contributing,development/contributing
contributing_docstring,development/contributing_docstring
developer,development/developer
extending,development/extending
internals,development/internals

# api moved function
reference/api/pandas.io.json.json_normalize,pandas.json_normalize

# api rename
api,reference/index
generated/pandas.api.extensions.ExtensionArray.argsort,../reference/api/pandas.api.extensions.ExtensionArray.argsort
generated/pandas.api.extensions.ExtensionArray.astype,../reference/api/pandas.api.extensions.ExtensionArray.astype
generated/pandas.api.extensions.ExtensionArray.copy,../reference/api/pandas.api.extensions.ExtensionArray.copy
generated/pandas.api.extensions.ExtensionArray.dropna,../reference/api/pandas.api.extensions.ExtensionArray.dropna
generated/pandas.api.extensions.ExtensionArray.dtype,../reference/api/pandas.api.extensions.ExtensionArray.dtype
generated/pandas.api.extensions.ExtensionArray.factorize,../reference/api/pandas.api.extensions.ExtensionArray.factorize
generated/pandas.api.extensions.ExtensionArray.fillna,../reference/api/pandas.api.extensions.ExtensionArray.fillna
generated/pandas.api.extensions.ExtensionArray,../reference/api/pandas.api.extensions.ExtensionArray
generated/pandas.api.extensions.ExtensionArray.isna,../reference/api/pandas.api.extensions.ExtensionArray.isna
generated/pandas.api.extensions.ExtensionArray.nbytes,../reference/api/pandas.api.extensions.ExtensionArray.nbytes
generated/pandas.api.extensions.ExtensionArray.ndim,../reference/api/pandas.api.extensions.ExtensionArray.ndim
generated/pandas.api.extensions.ExtensionArray.shape,../reference/api/pandas.api.extensions.ExtensionArray.shape
generated/pandas.api.extensions.ExtensionArray.take,../reference/api/pandas.api.extensions.ExtensionArray.take
generated/pandas.api.extensions.ExtensionArray.unique,../reference/api/pandas.api.extensions.ExtensionArray.unique
generated/pandas.api.extensions.ExtensionDtype.construct_array_type,../reference/api/pandas.api.extensions.ExtensionDtype.construct_array_type
generated/pandas.api.extensions.ExtensionDtype.construct_from_string,../reference/api/pandas.api.extensions.ExtensionDtype.construct_from_string
generated/pandas.api.extensions.ExtensionDtype,../reference/api/pandas.api.extensions.ExtensionDtype
generated/pandas.api.extensions.ExtensionDtype.is_dtype,../reference/api/pandas.api.extensions.ExtensionDtype.is_dtype
generated/pandas.api.extensions.ExtensionDtype.kind,../reference/api/pandas.api.extensions.ExtensionDtype.kind
generated/pandas.api.extensions.ExtensionDtype.name,../reference/api/pandas.api.extensions.ExtensionDtype.name
generated/pandas.api.extensions.ExtensionDtype.names,../reference/api/pandas.api.extensions.ExtensionDtype.names
generated/pandas.api.extensions.ExtensionDtype.na_value,../reference/api/pandas.api.extensions.ExtensionDtype.na_value
generated/pandas.api.extensions.ExtensionDtype.type,../reference/api/pandas.api.extensions.ExtensionDtype.type
generated/pandas.api.extensions.register_dataframe_accessor,../reference/api/pandas.api.extensions.register_dataframe_accessor
generated/pandas.api.extensions.register_extension_dtype,../reference/api/pandas.api.extensions.register_extension_dtype
generated/pandas.api.extensions.register_index_accessor,../reference/api/pandas.api.extensions.register_index_accessor
generated/pandas.api.extensions.register_series_accessor,../reference/api/pandas.api.extensions.register_series_accessor
generated/pandas.api.types.infer_dtype,../reference/api/pandas.api.types.infer_dtype
generated/pandas.api.types.is_bool_dtype,../reference/api/pandas.api.types.is_bool_dtype
generated/pandas.api.types.is_bool,../reference/api/pandas.api.types.is_bool
generated/pandas.api.types.is_categorical_dtype,../reference/api/pandas.api.types.is_categorical_dtype
generated/pandas.api.types.is_categorical,../reference/api/pandas.api.types.is_categorical
generated/pandas.api.types.is_complex_dtype,../reference/api/pandas.api.types.is_complex_dtype
generated/pandas.api.types.is_complex,../reference/api/pandas.api.types.is_complex
generated/pandas.api.types.is_datetime64_any_dtype,../reference/api/pandas.api.types.is_datetime64_any_dtype
generated/pandas.api.types.is_datetime64_dtype,../reference/api/pandas.api.types.is_datetime64_dtype
generated/pandas.api.types.is_datetime64_ns_dtype,../reference/api/pandas.api.types.is_datetime64_ns_dtype
generated/pandas.api.types.is_datetime64tz_dtype,../reference/api/pandas.api.types.is_datetime64tz_dtype
generated/pandas.api.types.is_datetimetz,../reference/api/pandas.api.types.is_datetimetz
generated/pandas.api.types.is_dict_like,../reference/api/pandas.api.types.is_dict_like
generated/pandas.api.types.is_extension_array_dtype,../reference/api/pandas.api.types.is_extension_array_dtype
generated/pandas.api.types.is_extension_type,../reference/api/pandas.api.types.is_extension_type
generated/pandas.api.types.is_file_like,../reference/api/pandas.api.types.is_file_like
generated/pandas.api.types.is_float_dtype,../reference/api/pandas.api.types.is_float_dtype
generated/pandas.api.types.is_float,../reference/api/pandas.api.types.is_float
generated/pandas.api.types.is_hashable,../reference/api/pandas.api.types.is_hashable
generated/pandas.api.types.is_int64_dtype,../reference/api/pandas.api.types.is_int64_dtype
generated/pandas.api.types.is_integer_dtype,../reference/api/pandas.api.types.is_integer_dtype
generated/pandas.api.types.is_integer,../reference/api/pandas.api.types.is_integer
generated/pandas.api.types.is_interval_dtype,../reference/api/pandas.api.types.is_interval_dtype
generated/pandas.api.types.is_interval,../reference/api/pandas.api.types.is_interval
generated/pandas.api.types.is_iterator,../reference/api/pandas.api.types.is_iterator
generated/pandas.api.types.is_list_like,../reference/api/pandas.api.types.is_list_like
generated/pandas.api.types.is_named_tuple,../reference/api/pandas.api.types.is_named_tuple
generated/pandas.api.types.is_number,../reference/api/pandas.api.types.is_number
generated/pandas.api.types.is_numeric_dtype,../reference/api/pandas.api.types.is_numeric_dtype
generated/pandas.api.types.is_object_dtype,../reference/api/pandas.api.types.is_object_dtype
generated/pandas.api.types.is_period_dtype,../reference/api/pandas.api.types.is_period_dtype
generated/pandas.api.types.is_period,../reference/api/pandas.api.types.is_period
generated/pandas.api.types.is_re_compilable,../reference/api/pandas.api.types.is_re_compilable
generated/pandas.api.types.is_re,../reference/api/pandas.api.types.is_re
generated/pandas.api.types.is_scalar,../reference/api/pandas.api.types.is_scalar
generated/pandas.api.types.is_signed_integer_dtype,../reference/api/pandas.api.types.is_signed_integer_dtype
generated/pandas.api.types.is_sparse,../reference/api/pandas.api.types.is_sparse
generated/pandas.api.types.is_string_dtype,../reference/api/pandas.api.types.is_string_dtype
generated/pandas.api.types.is_timedelta64_dtype,../reference/api/pandas.api.types.is_timedelta64_dtype
generated/pandas.api.types.is_timedelta64_ns_dtype,../reference/api/pandas.api.types.is_timedelta64_ns_dtype
generated/pandas.api.types.is_unsigned_integer_dtype,../reference/api/pandas.api.types.is_unsigned_integer_dtype
generated/pandas.api.types.pandas_dtype,../reference/api/pandas.api.types.pandas_dtype
generated/pandas.api.types.union_categoricals,../reference/api/pandas.api.types.union_categoricals
generated/pandas.bdate_range,../reference/api/pandas.bdate_range
generated/pandas.Categorical.__array__,../reference/api/pandas.Categorical.__array__
generated/pandas.Categorical.categories,../reference/api/pandas.Categorical.categories
generated/pandas.Categorical.codes,../reference/api/pandas.Categorical.codes
generated/pandas.CategoricalDtype.categories,../reference/api/pandas.CategoricalDtype.categories
generated/pandas.Categorical.dtype,../reference/api/pandas.Categorical.dtype
generated/pandas.CategoricalDtype,../reference/api/pandas.CategoricalDtype
generated/pandas.CategoricalDtype.ordered,../reference/api/pandas.CategoricalDtype.ordered
generated/pandas.Categorical.from_codes,../reference/api/pandas.Categorical.from_codes
generated/pandas.Categorical,../reference/api/pandas.Categorical
generated/pandas.CategoricalIndex.add_categories,../reference/api/pandas.CategoricalIndex.add_categories
generated/pandas.CategoricalIndex.as_ordered,../reference/api/pandas.CategoricalIndex.as_ordered
generated/pandas.CategoricalIndex.as_unordered,../reference/api/pandas.CategoricalIndex.as_unordered
generated/pandas.CategoricalIndex.categories,../reference/api/pandas.CategoricalIndex.categories
generated/pandas.CategoricalIndex.codes,../reference/api/pandas.CategoricalIndex.codes
generated/pandas.CategoricalIndex.equals,../reference/api/pandas.CategoricalIndex.equals
generated/pandas.CategoricalIndex,../reference/api/pandas.CategoricalIndex
generated/pandas.CategoricalIndex.map,../reference/api/pandas.CategoricalIndex.map
